channel_name,date,number_of_subs,growth_rate
bonappetitdotcom,2019-04-26,3.67,2.002724795640327
bonappetitdotcom,2019-04-27,3.67,2.0
bonappetitdotcom,2019-04-28,3.68,2.0
bonappetitdotcom,2019-04-29,3.68,2.0027173913043477
bonappetitdotcom,2019-04-30,3.68,2.0027100271002714
bonappetitdotcom,2019-05-01,3.69,2.0
bonappetitdotcom,2019-05-02,3.7,2.0027027027027025
bonappetitdotcom,2019-05-03,3.7,2.0
bonappetitdotcom,2019-05-04,3.71,2.0026954177897576
bonappetitdotcom,2019-05-05,3.71,2.0
bonappetitdotcom,2019-05-06,3.72,2.0026881720430105
bonappetitdotcom,2019-05-07,3.72,2.0
bonappetitdotcom,2019-05-08,3.73,2.0026809651474533
bonappetitdotcom,2019-05-09,3.73,2.0026737967914436
bonappetitdotcom,2019-05-10,3.74,2.002666666666667
bonappetitdotcom,2019-05-11,3.75,2.0
bonappetitdotcom,2019-05-12,3.76,2.002659574468085
bonappetitdotcom,2019-05-13,3.76,2.0026525198938994
bonappetitdotcom,2019-05-14,3.77,2.0
bonappetitdotcom,2019-05-15,3.78,2.002645502645503
bonappetitdotcom,2019-05-16,3.78,2.0
bonappetitdotcom,2019-05-17,3.79,2.0
bonappetitdotcom,2019-05-18,3.79,2.0026385224274406
bonappetitdotcom,2019-05-19,3.79,2.576315789473684
bonappetitdotcom,2019-05-20,3.8,2.0
bonappetitdotcom,2020-09-12,5.99,2.0
bonappetitdotcom,2020-09-13,5.99,2.0
bonappetitdotcom,2020-09-14,5.99,2.0
bonappetitdotcom,2020-09-15,5.99,2.0
bonappetitdotcom,2020-09-16,5.99,2.0
bonappetitdotcom,2020-09-17,5.99,2.0
bonappetitdotcom,2020-09-18,5.99,2.0
bonappetitdotcom,2020-09-19,5.99,2.0
bonappetitdotcom,2020-09-20,5.99,2.0
bonappetitdotcom,2020-09-21,5.99,2.0
bonappetitdotcom,2020-09-22,5.99,2.0
bonappetitdotcom,2020-09-23,5.99,2.0
bonappetitdotcom,2020-09-24,5.99,2.0
bonappetitdotcom,2020-09-25,5.99,2.0
bonappetitdotcom,2020-09-26,5.99,2.0
bonappetitdotcom,2020-09-27,5.99,2.0
bonappetitdotcom,2020-09-28,5.99,2.0
bonappetitdotcom,2020-09-29,5.99,2.0
bonappetitdotcom,2020-09-30,5.99,2.0
bonappetitdotcom,2020-10-01,5.99,2.0
bonappetitdotcom,2020-10-02,5.99,2.0
bonappetitdotcom,2020-10-03,5.99,2.0
bonappetitdotcom,2020-10-04,5.99,2.0
