channel_name,date,number_of_subs,growth_rate
chloesaddiction,2019-04-25,1.19,2.0
chloesaddiction,2019-04-26,1.2,2.0
chloesaddiction,2019-04-27,1.2,2.0
chloesaddiction,2019-04-28,1.2,2.0
chloesaddiction,2019-04-29,1.2,2.0083333333333337
chloesaddiction,2019-04-30,1.2,2.008264462809917
chloesaddiction,2019-05-01,1.21,2.0
chloesaddiction,2019-05-02,1.22,2.0081967213114758
chloesaddiction,2019-05-03,1.22,2.0
chloesaddiction,2019-05-04,1.23,2.0081300813008127
chloesaddiction,2019-05-05,1.23,2.0
chloesaddiction,2019-05-06,1.24,2.0080645161290325
chloesaddiction,2019-05-07,1.24,2.0
chloesaddiction,2019-05-08,1.25,2.0
chloesaddiction,2019-05-09,1.25,2.0
chloesaddiction,2019-05-10,1.25,2.008
chloesaddiction,2019-05-11,1.25,2.0
chloesaddiction,2019-05-12,1.26,2.0
chloesaddiction,2019-05-13,1.26,2.007936507936508
chloesaddiction,2019-05-14,1.26,2.0
chloesaddiction,2019-05-15,1.27,2.0
chloesaddiction,2019-05-16,1.27,2.0078740157480315
chloesaddiction,2019-05-17,1.27,2.0
chloesaddiction,2019-05-18,1.28,2.0
chloesaddiction,2019-05-19,1.28,2.0
chloesaddiction,2020-06-26,11.0,2.0090909090909093
chloesaddiction,2020-06-27,11.0,2.009009009009009
chloesaddiction,2020-06-28,11.1,2.0
chloesaddiction,2020-06-29,11.2,2.0089285714285716
chloesaddiction,2020-06-30,11.2,2.008849557522124
chloesaddiction,2020-07-01,11.3,2.0
chloesaddiction,2020-07-02,11.4,2.008771929824561
chloesaddiction,2020-07-03,11.4,2.0
chloesaddiction,2020-07-04,11.5,2.008695652173913
chloesaddiction,2020-07-05,11.5,2.008620689655172
chloesaddiction,2020-07-06,11.6,2.0
chloesaddiction,2020-07-07,11.7,2.0085470085470085
chloesaddiction,2020-07-08,11.7,2.0
chloesaddiction,2020-07-09,11.8,2.0084745762711864
chloesaddiction,2020-07-10,11.8,2.0
chloesaddiction,2020-07-11,11.9,2.008403361344538
chloesaddiction,2020-07-12,11.9,2.0
chloesaddiction,2020-07-13,12.0,2.0083333333333333
chloesaddiction,2020-07-14,12.0,2.008264462809917
chloesaddiction,2020-07-15,12.1,2.0
chloesaddiction,2020-07-16,12.2,2.0081967213114753
chloesaddiction,2020-07-17,12.2,2.0
chloesaddiction,2020-07-18,12.3,2.008130081300813
