channel_name,date,number_of_subs,growth_rate
fitnessblender,2019-06-03,5.71,2.0
fitnessblender,2019-06-04,5.71,2.0
fitnessblender,2019-06-05,5.71,2.0
fitnessblender,2019-06-06,5.71,2.0
fitnessblender,2019-06-07,5.71,2.0
fitnessblender,2019-06-08,5.71,2.0
fitnessblender,2019-06-09,5.71,2.0
fitnessblender,2019-06-10,5.71,2.001751313485114
fitnessblender,2019-06-11,5.71,2.0
fitnessblender,2019-06-12,5.72,2.0
fitnessblender,2019-06-13,5.72,2.0
fitnessblender,2019-06-14,5.72,2.0
fitnessblender,2019-06-15,5.72,2.0
fitnessblender,2019-06-16,5.72,2.0
fitnessblender,2019-06-17,5.72,2.0
fitnessblender,2019-06-18,5.72,2.0017482517482517
fitnessblender,2019-06-19,5.72,2.0
fitnessblender,2019-06-20,5.73,2.0
fitnessblender,2019-06-21,5.73,2.0
fitnessblender,2019-06-22,5.73,2.0
fitnessblender,2019-06-23,5.73,2.0
fitnessblender,2019-06-24,5.73,2.0
fitnessblender,2019-06-25,5.73,2.0
fitnessblender,2019-06-26,5.73,2.087260034904014
fitnessblender,2019-06-27,5.73,2.0
fitnessblender,2020-05-15,6.23,2.0
fitnessblender,2020-05-16,6.23,2.0
fitnessblender,2020-05-17,6.23,2.001605136436597
fitnessblender,2020-05-18,6.23,2.0
fitnessblender,2020-05-19,6.24,2.0
fitnessblender,2020-05-20,6.24,2.0
fitnessblender,2020-05-21,6.24,2.0
fitnessblender,2020-05-22,6.24,2.001602564102564
fitnessblender,2020-05-23,6.24,2.0
fitnessblender,2020-05-24,6.25,2.0
fitnessblender,2020-05-25,6.25,2.0
fitnessblender,2020-05-26,6.25,2.0016
fitnessblender,2020-05-27,6.25,2.0
fitnessblender,2020-05-28,6.26,2.0
fitnessblender,2020-05-29,6.26,2.0
fitnessblender,2020-05-30,6.26,2.0
fitnessblender,2020-05-31,6.26,2.001597444089457
fitnessblender,2020-06-01,6.26,2.0
fitnessblender,2020-06-02,6.27,2.0
fitnessblender,2020-06-03,6.27,2.0
fitnessblender,2020-06-04,6.27,2.0
fitnessblender,2020-06-05,6.27,2.0015948963317385
fitnessblender,2020-06-06,6.27,2.0
